zipcode,Cases,Population,Rate
94022,2861,19378,14764
94024,3140,23961,13105
94040,6034,35845,16834
94041,2458,14394,17077
94043,5079,31488,16130
94085,4780,23612,20244
94086,8436,49630,16998
94087,8741,57219,15276
94089,4613,22313,20674
94301,2711,17191,15770
94304,761,3902,19503
94305,995,15730,6325
94306,4280,27549,15536
95002,605,2146,28192
95008,9657,46513,20762
95013,32,77,41558
95014,8291,62430,13280
95020,19988,63852,31304
95030,1773,13288,13343
95032,4603,26281,17515
95035,16921,77562,21816
95037,13274,51652,25699
95046,947,6025,15718
95050,9083,39452,23023
95051,11737,58123,20193
95053,238,3678,6471
95054,5672,24264,23376
95070,4427,31308,14140
95110,7156,20203,35420
95111,21871,62392,35054
95112,16986,61060,27819
95113,1122,1939,57865
95116,18354,56481,32496
95117,7639,29592,25814
95118,7865,32560,24155
95119,2974,10472,28400
95120,6489,37774,17178
95121,12186,38102,31983
95122,21027,57780,36391
95123,18311,67186,27254
95124,9453,51170,18474
95125,12730,53574,23762
95126,9646,35988,26803
95127,21142,65686,32186
95128,9404,37665,24967
95129,6673,39828,16755
95130,2529,14863,17015
95131,7000,31170,22457
95132,9167,41844,21908
95133,7702,28726,26812
95134,5873,27224,21573
95135,3734,22358,16701
95136,12712,47599,26706
95138,4497,20766,21656
95139,1673,7293,22940
95140,40,115,34783
95148,13395,48854,27418
