zipcode,Cases,Population,Rate
94022,2735,19378,14114
94024,2997,23961,12508
94040,5752,35845,16047
94041,2311,14394,16055
94043,4783,31488,15190
94085,4499,23612,19054
94086,7898,49630,15914
94087,8258,57219,14432
94089,4324,22313,19379
94301,2601,17191,15130
94304,727,3902,18631
94305,777,15730,4940
94306,4071,27549,14777
95002,577,2146,26887
95008,9105,46513,19575
95013,30,77,38961
95014,7736,62430,12391
95020,19169,63852,30021
95030,1663,13288,12515
95032,4380,26281,16666
95035,15534,77562,20028
95037,12610,51652,24413
95046,825,6025,13693
95050,8541,39452,21649
95051,11042,58123,18998
95053,227,3678,6172
95054,5347,24264,22037
95070,4175,31308,13335
95110,6765,20203,33485
95111,20616,62392,33043
95112,16010,61060,26220
95113,1057,1939,54513
95116,17298,56481,30626
95117,7266,29592,24554
95118,7429,32560,22816
95119,2753,10472,26289
95120,6212,37774,16445
95121,11287,38102,29623
95122,19690,57780,34078
95123,17286,67186,25729
95124,8975,51170,17540
95125,12117,53574,22617
95126,9064,35988,25186
95127,19984,65686,30424
95128,8903,37665,23637
95129,6234,39828,15652
95130,2407,14863,16195
95131,6489,31170,20818
95132,8436,41844,20161
95133,7178,28726,24988
95134,5453,27224,20030
95135,3470,22358,15520
95136,11988,47599,25185
95138,4205,20766,20249
95139,1557,7293,21349
95140,40,115,34783
95148,12546,48854,25681
