zipcode,Cases,Population,Rate
94022,2640,19378,13624
94024,2907,23961,12132
94040,5623,35845,15687
94041,2277,14394,15819
94043,4656,31488,14787
94085,4394,23612,18609
94086,7712,49630,15539
94087,8044,57219,14058
94089,4229,22313,18953
94301,2535,17191,14746
94304,712,3902,18247
94305,636,15730,4043
94306,3961,27549,14378
95002,569,2146,26514
95008,8898,46513,19130
95013,30,77,38961
95014,7478,62430,11978
95020,18912,63852,29618
95030,1627,13288,12244
95032,4280,26281,16286
95035,15200,77562,19597
95037,12422,51652,24049
95046,761,6025,12631
95050,8344,39452,21150
95051,10784,58123,18554
95053,218,3678,5927
95054,5218,24264,21505
95070,4041,31308,12907
95110,6671,20203,33020
95111,20364,62392,32639
95112,15771,61060,25829
95113,1040,1939,53636
95116,17090,56481,30258
95117,7155,29592,24179
95118,7293,32560,22399
95119,2704,10472,25821
95120,6050,37774,16016
95121,11093,38102,29114
95122,19492,57780,33735
95123,16969,67186,25257
95124,8839,51170,17274
95125,11894,53574,22201
95126,8895,35988,24717
95127,19757,65686,30078
95128,8751,37665,23234
95129,6047,39828,15183
95130,2352,14863,15825
95131,6338,31170,20334
95132,8277,41844,19781
95133,7032,28726,24480
95134,5274,27224,19373
95135,3317,22358,14836
95136,11755,47599,24696
95138,4133,20766,19903
95139,1512,7293,20732
95140,37,115,32174
95148,12354,48854,25288
