zipcode,Cases,Population,Rate
94022,2856,19378,14738
94024,3128,23961,13055
94040,6017,35845,16786
94041,2447,14394,17000
94043,5061,31488,16073
94085,4764,23612,20176
94086,8406,49630,16937
94087,8718,57219,15236
94089,4591,22313,20575
94301,2706,17191,15741
94304,760,3902,19477
94305,988,15730,6281
94306,4266,27549,15485
95002,604,2146,28145
95008,9621,46513,20685
95013,32,77,41558
95014,8253,62430,13220
95020,19936,63852,31222
95030,1767,13288,13298
95032,4591,26281,17469
95035,16880,77562,21763
95037,13233,51652,25620
95046,944,6025,15668
95050,9060,39452,22965
95051,11715,58123,20156
95053,233,3678,6335
95054,5661,24264,23331
95070,4419,31308,14115
95110,7141,20203,35346
95111,21831,62392,34990
95112,16956,61060,27769
95113,1116,1939,57555
95116,18310,56481,32418
95117,7619,29592,25747
95118,7840,32560,24079
95119,2966,10472,28323
95120,6472,37774,17133
95121,12166,38102,31930
95122,20999,57780,36343
95123,18266,67186,27187
95124,9428,51170,18425
95125,12706,53574,23717
95126,9629,35988,26756
95127,21110,65686,32138
95128,9383,37665,24912
95129,6653,39828,16704
95130,2526,14863,16995
95131,6972,31170,22368
95132,9146,41844,21857
95133,7683,28726,26746
95134,5864,27224,21540
95135,3724,22358,16656
95136,12690,47599,26660
95138,4490,20766,21622
95139,1670,7293,22899
95140,40,115,34783
95148,13366,48854,27359
