zipcode,Cases,Population,Rate
94022,2826,19378,14584
94024,3107,23961,12967
94040,5977,35845,16675
94041,2432,14394,16896
94043,5018,31488,15936
94085,4715,23612,19969
94086,8296,49630,16716
94087,8628,57219,15079
94089,4550,22313,20392
94301,2691,17191,15654
94304,751,3902,19247
94305,958,15730,6090
94306,4220,27549,15318
95002,600,2146,27959
95008,9523,46513,20474
95013,31,77,40260
95014,8130,62430,13023
95020,19777,63852,30973
95030,1750,13288,13170
95032,4547,26281,17301
95035,16689,77562,21517
95037,13106,51652,25374
95046,930,6025,15436
95050,8945,39452,22673
95051,11585,58123,19932
95053,232,3678,6308
95054,5608,24264,23112
95070,4367,31308,13949
95110,7094,20203,35114
95111,21685,62392,34756
95112,16817,61060,27542
95113,1102,1939,56833
95116,18196,56481,32216
95117,7570,29592,25581
95118,7765,32560,23848
95119,2928,10472,27960
95120,6423,37774,17004
95121,12053,38102,31634
95122,20890,57780,36154
95123,18114,67186,26961
95124,9353,51170,18278
95125,12606,53574,23530
95126,9561,35988,26567
95127,20988,65686,31952
95128,9265,37665,24598
95129,6572,39828,16501
95130,2513,14863,16908
95131,6903,31170,22146
95132,9061,41844,21654
95133,7630,28726,26561
95134,5800,27224,21305
95135,3683,22358,16473
95136,12577,47599,26423
95138,4445,20766,21405
95139,1654,7293,22679
95140,40,115,34783
95148,13243,48854,27107
