zipcode,Cases,Population,Rate
94022,2701,19378,13938
94024,2960,23961,12353
94040,5696,35845,15891
94041,2300,14394,15979
94043,4731,31488,15025
94085,4457,23612,18876
94086,7813,49630,15742
94087,8175,57219,14287
94089,4282,22313,19191
94301,2575,17191,14979
94304,721,3902,18478
94305,712,15730,4526
94306,4017,27549,14581
95002,574,2146,26747
95008,9008,46513,19367
95013,30,77,38961
95014,7645,62430,12246
95020,19062,63852,29853
95030,1645,13288,12380
95032,4340,26281,16514
95035,15408,77562,19865
95037,12539,51652,24276
95046,807,6025,13394
95050,8448,39452,21413
95051,10937,58123,18817
95053,224,3678,6090
95054,5300,24264,21843
95070,4135,31308,13207
95110,6724,20203,33282
95111,20501,62392,32858
95112,15911,61060,26058
95113,1051,1939,54203
95116,17216,56481,30481
95117,7216,29592,24385
95118,7388,32560,22690
95119,2738,10472,26146
95120,6146,37774,16270
95121,11192,38102,29374
95122,19610,57780,33939
95123,17161,67186,25543
95124,8919,51170,17430
95125,12029,53574,22453
95126,8994,35988,24992
95127,19881,65686,30267
95128,8834,37665,23454
95129,6157,39828,15459
95130,2383,14863,16033
95131,6432,31170,20635
95132,8355,41844,19967
95133,7124,28726,24800
95134,5376,27224,19747
95135,3419,22358,15292
95136,11896,47599,24992
95138,4179,20766,20124
95139,1537,7293,21075
95140,38,115,33043
95148,12464,48854,25513
