zipcode,Cases,Population,Rate
94022,2768,19378,14284
94024,3030,23961,12646
94040,5821,35845,16239
94041,2358,14394,16382
94043,4862,31488,15441
94085,4569,23612,19350
94086,8013,49630,16145
94087,8384,57219,14652
94089,4382,22313,19639
94301,2636,17191,15334
94304,732,3902,18760
94305,811,15730,5156
94306,4131,27549,14995
95002,580,2146,27027
95008,9216,46513,19814
95013,31,77,40260
95014,7836,62430,12552
95020,19336,63852,30283
95030,1683,13288,12666
95032,4435,26281,16875
95035,15759,77562,20318
95037,12757,51652,24698
95046,868,6025,14407
95050,8656,39452,21941
95051,11202,58123,19273
95053,230,3678,6253
95054,5417,24264,22325
95070,4237,31308,13533
95110,6839,20203,33851
95111,20860,62392,33434
95112,16184,61060,26505
95113,1066,1939,54977
95116,17488,56481,30963
95117,7341,29592,24807
95118,7512,32560,23071
95119,2791,10472,26652
95120,6278,37774,16620
95121,11415,38102,29959
95122,19861,57780,34373
95123,17532,67186,26095
95124,9074,51170,17733
95125,12243,53574,22853
95126,9170,35988,25481
95127,20177,65686,30717
95128,8986,37665,23858
95129,6324,39828,15878
95130,2444,14863,16444
95131,6570,31170,21078
95132,8531,41844,20388
95133,7257,28726,25263
95134,5557,27224,20412
95135,3533,22358,15802
95136,12135,47599,25494
95138,4258,20766,20505
95139,1588,7293,21774
95140,40,115,34783
95148,12665,48854,25924
