zipcode,Cases,Population,Rate
94022,2694,19378,13902
94024,2946,23961,12295
94040,5683,35845,15854
94041,2296,14394,15951
94043,4704,31488,14939
94085,4440,23612,18804
94086,7790,49630,15696
94087,8143,57219,14231
94089,4269,22313,19132
94301,2566,17191,14926
94304,719,3902,18426
94305,703,15730,4469
94306,4008,27549,14549
95002,574,2146,26747
95008,8980,46513,19306
95013,30,77,38961
95014,7599,62430,12172
95020,19032,63852,29806
95030,1640,13288,12342
95032,4324,26281,16453
95035,15361,77562,19805
95037,12502,51652,24204
95046,794,6025,13178
95050,8418,39452,21337
95051,10888,58123,18733
95053,224,3678,6090
95054,5286,24264,21785
95070,4119,31308,13156
95110,6713,20203,33228
95111,20463,62392,32797
95112,15875,61060,25999
95113,1049,1939,54100
95116,17169,56481,30398
95117,7197,29592,24321
95118,7376,32560,22654
95119,2728,10472,26050
95120,6122,37774,16207
95121,11167,38102,29308
95122,19573,57780,33875
95123,17108,67186,25464
95124,8902,51170,17397
95125,11971,53574,22345
95126,8980,35988,24953
95127,19844,65686,30210
95128,8797,37665,23356
95129,6130,39828,15391
95130,2375,14863,15979
95131,6394,31170,20513
95132,8330,41844,19907
95133,7100,28726,24716
95134,5346,27224,19637
95135,3399,22358,15203
95136,11857,47599,24910
95138,4163,20766,20047
95139,1528,7293,20952
95140,38,115,33043
95148,12436,48854,25455
