zipcode,Cases,Population,Rate
94022,2669,19378,13773
94024,2938,23961,12262
94040,5664,35845,15801
94041,2289,14394,15902
94043,4689,31488,14891
94085,4424,23612,18736
94086,7764,49630,15644
94087,8122,57219,14195
94089,4256,22313,19074
94301,2560,17191,14892
94304,716,3902,18350
94305,686,15730,4361
94306,3996,27549,14505
95002,571,2146,26608
95008,8958,46513,19259
95013,30,77,38961
95014,7556,62430,12103
95020,18998,63852,29753
95030,1638,13288,12327
95032,4313,26281,16411
95035,15304,77562,19731
95037,12477,51652,24156
95046,775,6025,12863
95050,8397,39452,21284
95051,10858,58123,18681
95053,224,3678,6090
95054,5273,24264,21732
95070,4091,31308,13067
95110,6698,20203,33153
95111,20430,62392,32745
95112,15845,61060,25950
95113,1045,1939,53894
95116,17150,56481,30364
95117,7186,29592,24284
95118,7353,32560,22583
95119,2715,10472,25926
95120,6092,37774,16127
95121,11141,38102,29240
95122,19551,57780,33837
95123,17065,67186,25400
95124,8875,51170,17344
95125,11951,53574,22307
95126,8948,35988,24864
95127,19816,65686,30168
95128,8786,37665,23327
95129,6108,39828,15336
95130,2367,14863,15925
95131,6368,31170,20430
95132,8314,41844,19869
95133,7082,28726,24654
95134,5318,27224,19534
95135,3369,22358,15068
95136,11826,47599,24845
95138,4153,20766,19999
95139,1523,7293,20883
95140,38,115,33043
95148,12407,48854,25396
