zipcode,Cases,Population,Rate
94022,2818,19378,14542
94024,3092,23961,12904
94040,5947,35845,16591
94041,2423,14394,16833
94043,4985,31488,15831
94085,4692,23612,19871
94086,8237,49630,16597
94087,8582,57219,14999
94089,4529,22313,20298
94301,2677,17191,15572
94304,750,3902,19221
94305,950,15730,6039
94306,4203,27549,15256
95002,596,2146,27773
95008,9464,46513,20347
95013,31,77,40260
95014,8079,62430,12941
95020,19689,63852,30835
95030,1738,13288,13079
95032,4517,26281,17187
95035,16585,77562,21383
95037,13038,51652,25242
95046,916,6025,15203
95050,8897,39452,22551
95051,11498,58123,19782
95053,232,3678,6308
95054,5580,24264,22997
95070,4337,31308,13853
95110,7065,20203,34970
95111,21589,62392,34602
95112,16739,61060,27414
95113,1097,1939,56576
95116,18115,56481,32073
95117,7530,29592,25446
95118,7731,32560,23744
95119,2911,10472,27798
95120,6389,37774,16914
95121,11997,38102,31487
95122,20814,57780,36023
95123,18034,67186,26842
95124,9286,51170,18147
95125,12567,53574,23457
95126,9501,35988,26400
95127,20907,65686,31829
95128,9212,37665,24458
95129,6531,39828,16398
95130,2498,14863,16807
95131,6849,31170,21973
95132,9009,41844,21530
95133,7573,28726,26363
95134,5753,27224,21132
95135,3658,22358,16361
95136,12517,47599,26297
95138,4414,20766,21256
95139,1643,7293,22528
95140,40,115,34783
95148,13187,48854,26993
