zipcode,Cases,Population,Rate
94022,2786,19378,14377
94024,3043,23961,12700
94040,5868,35845,16370
94041,2384,14394,16562
94043,4908,31488,15587
94085,4619,23612,19562
94086,8118,49630,16357
94087,8464,57219,14792
94089,4454,22313,19961
94301,2651,17191,15421
94304,740,3902,18965
94305,839,15730,5334
94306,4152,27549,15071
95002,589,2146,27446
95008,9320,46513,20037
95013,31,77,40260
95014,7927,62430,12697
95020,19472,63852,30496
95030,1696,13288,12763
95032,4465,26281,16989
95035,16283,77562,20994
95037,12869,51652,24915
95046,877,6025,14556
95050,8762,39452,22209
95051,11337,58123,19505
95053,232,3678,6308
95054,5507,24264,22696
95070,4281,31308,13674
95110,6960,20203,34450
95111,21280,62392,34107
95112,16492,61060,27009
95113,1075,1939,55441
95116,17875,56481,31648
95117,7435,29592,25125
95118,7625,32560,23418
95119,2848,10472,27196
95120,6328,37774,16752
95121,11791,38102,30946
95122,20465,57780,35419
95123,17770,67186,26449
95124,9177,51170,17934
95125,12402,53574,23149
95126,9362,35988,26014
95127,20583,65686,31335
95128,9073,37665,24089
95129,6434,39828,16154
95130,2470,14863,16618
95131,6734,31170,21604
95132,8855,41844,21162
95133,7458,28726,25963
95134,5645,27224,20735
95135,3600,22358,16102
95136,12327,47599,25898
95138,4344,20766,20919
95139,1621,7293,22227
95140,40,115,34783
95148,12977,48854,26563
