zipcode,Cases,Population,Rate
94022,2837,19378,14640
94024,3115,23961,13000
94040,6001,35845,16742
94041,2437,14394,16931
94043,5040,31488,16006
94085,4744,23612,20091
94086,8354,49630,16833
94087,8677,57219,15165
94089,4577,22313,20513
94301,2695,17191,15677
94304,760,3902,19477
94305,972,15730,6179
94306,4247,27549,15416
95002,600,2146,27959
95008,9578,46513,20592
95013,31,77,40260
95014,8208,62430,13148
95020,19863,63852,31108
95030,1759,13288,13238
95032,4572,26281,17397
95035,16801,77562,21661
95037,13188,51652,25532
95046,939,6025,15585
95050,9013,39452,22845
95051,11654,58123,20051
95053,232,3678,6308
95054,5635,24264,23224
95070,4405,31308,14070
95110,7119,20203,35237
95111,21769,62392,34891
95112,16895,61060,27670
95113,1108,1939,57143
95116,18256,56481,32322
95117,7600,29592,25683
95118,7807,32560,23977
95119,2944,10472,28113
95120,6455,37774,17088
95121,12110,38102,31783
95122,20944,57780,36248
95123,18209,67186,27102
95124,9396,51170,18362
95125,12673,53574,23655
95126,9595,35988,26662
95127,21070,65686,32077
95128,9326,37665,24760
95129,6619,39828,16619
95130,2516,14863,16928
95131,6950,31170,22297
95132,9113,41844,21779
95133,7666,28726,26687
95134,5829,27224,21411
95135,3705,22358,16571
95136,12645,47599,26566
95138,4471,20766,21530
95139,1667,7293,22858
95140,40,115,34783
95148,13315,48854,27255
